"puestos_trabajo","rol_funcional"
"Product Analyst","Análisis"
"Analista Big Data","Análisis"
"Experto en Big Data","Análisis"
"Experta en Big Data","Análisis"
"Data Science","Análisis"
"Data Scientist ","Análisis"
"Analista Data Scientist","Análisis"
"Data Analyst","Análisis"
"Data Analytics","Análisis"
"Data Analytics Engineer ","Análisis"
"Ingeniero de datos","Análisis"
"Ingeniera de datos","Análisis"
"Analista Digital","Análisis"
"Analista Business Intelligence","Análisis"
"Especialista en Business Intelligence","Análisis"
"Consultor BI","Análisis"
"Consultora BI","Análisis"
"Analista de negocios","Análisis"
"BI Analyst","Análisis"
"Business Intelligence Analyst","Análisis"
"Business Analyst","Análisis"
"BI Developer","Análisis"
"BI Manager","Análisis"
"Cientista de datos","Análisis"
"DataOps","Análisis"
"MLOps","Análisis"
"Machine Learning Engineer","Análisis"
"ML Engineer","Análisis"
"NLP Developer","Análisis"
"NLP Engineer","Análisis"
"Natural Language Processing","Análisis"
"Buyer Analyst","Análisis"
"Decision Scientist","Análisis"
"Data Developer","Análisis"
"Data Engineer","Análisis"
"BI Lead","Análisis"
"BI Leader","Análisis"
"Analista de datos","Análisis"
"Inteligencia empresarial","Análisis"
"""BI ""","Análisis"
"Quantitative Finance","Análisis"
"Especialista de datos","Análisis"
"Business Intelligence","Análisis"
"Revenue management","Análisis"
"Knowledge Management Specialist","Análisis"
"ETL","Análisis"
"Content Analyst","Análisis"
"Social Media Analyst","Análisis"
"Research Project Management Analyst","Análisis"
"CRM Analyst","Análisis"
"Last Mile Analyst","Análisis"
"Offline Analyst","Análisis"
"HSE Analyst","Análisis"
"gestión de aplicaciones","Análisis"
"Machine learning","Análisis"
"Consultor funcional","Análisis"
"Analytics Engineer","Análisis"
""" BI""","Análisis"
"Analista de fraude","Análisis"
"Fraud prevention analyst","Análisis"
"Analista de implementación","Análisis"
"Project Business Analyst","Análisis"
"Analista de Pricing","Análisis"
"Risk Analyst","Análisis"
"Math analyst","Análisis"
"Infosec","Seguridad"
"Seguridad Informática","Seguridad"
"Analista de seguridad informatica","Seguridad"
"Responsable de Seguridad ","Seguridad"
"Analista de telecomunicaciones y seguridad","Seguridad"
"Seguridad Informática Cyber SOC","Seguridad"
"Especialista en Seguridad de la Información","Seguridad"
"Especialista en ciberseguridad","Seguridad"
"Especialista en seguridad informática","Seguridad"
"Security Engineer","Seguridad"
"SOC","Seguridad"
"DevSecOps","Seguridad"
"DevSecOps Engineer","Seguridad"
"Pentester","Seguridad"
"Penetration Tester","Seguridad"
"Vulnerability Tester","Seguridad"
"Vulnerability Assessment","Seguridad"
"Evaluador de vulnerabilidad","Seguridad"
"Evaluadora de vulnerabilidad","Seguridad"
"SSO specialist","Seguridad"
"Soc Analyst","Seguridad"
"Administrador de redes, comunicaciones y sistemas operativos","Seguridad"
"Administradora de redes, comunicaciones y sistemas operativos","Seguridad"
"Administrador de redes","Seguridad"
"Administradora de redes","Seguridad"
"Administrador de sistemas operativos","Seguridad"
"Administradora de sistemas operativos","Seguridad"
"Cloud Administrator","Seguridad"
"DBA","Seguridad"
"Database Administrator","Seguridad"
"Administrador de Base de Datos","Seguridad"
"Administradora de Base de Datos","Seguridad"
"SysAdmin","Seguridad"
"Administrador Middleware","Seguridad"
"Administradora Middleware","Seguridad"
"Infrastructure Administrator","Seguridad"
"Administrador de Infraestructura","Seguridad"
"Administradora de Infraestructura","Seguridad"
"Administradora de Plataformas","Seguridad"
"Administrador de Plataformas","Seguridad"
"Auditor de código fuente","Seguridad"
"Analista Sistemas OT","Seguridad"
"Security Researcher","Seguridad"
"Access management","Seguridad"
"Access management control","Seguridad"
"Access management analyst","Seguridad"
"Ethical hacker","Seguridad"
"System Administrator","Seguridad"
"SecOps","Seguridad"
"Network System Engineer","Seguridad"
"System Administrator","Seguridad"
"AML","Seguridad"
"Sys Admin","Seguridad"
"Gestión de Accesos","Seguridad"
"Management Control Analyst","Seguridad"
"Cloud Engineer","Seguridad"
"Administrador de datos","Seguridad"
"Data Security","Seguridad"
"Cloud Security Engineer","Seguridad"
"Cybersecurity Analyst","Seguridad"
"Cyberdefense","Seguridad"
"Security","Seguridad"
"Cybersecurity ","Seguridad"
"Soporte de infraestructura IT","Soporte"
"Especialista en redes","Soporte"
"Técnico de redes","Soporte"
"Técnica de redes","Soporte"
"Ingeniero de redes","Soporte"
"Ingeniera de redes","Soporte"
"Analista de Infraestructura","Soporte"
"Infrastructure Engineer","Soporte"
"Ingeniero de Infraestructura ","Soporte"
"Ingeniera de Infraestructura ","Soporte"
"Ingeniero en soporte Middleware","Soporte"
"Ingeniera en soporte Middleware","Soporte"
"Ingeniero Middleware","Soporte"
"Ingeniera Middleware","Soporte"
"Consultor Middleware","Soporte"
"Consultora Middleware","Soporte"
"Operador mainframe ","Soporte"
"Operadora mainframe ","Soporte"
"Operadora de mainframe ","Soporte"
"Operador de mainframe ","Soporte"
"Mainframe developer","Soporte"
"Soporte OnSite ","Soporte"
"Onsite support ","Soporte"
"Soporte técnico","Soporte"
"Technical Support","Soporte"
"Soporte Funcional","Soporte"
"Soporte de redes","Soporte"
"Support Analyst","Soporte"
"Analista de Soporte","Soporte"
"Support Engineer ","Soporte"
"Support Specialist","Soporte"
"Site Support Engineer ","Soporte"
"App Support","Soporte"
"Application Support","Soporte"
"Technical Support Engineer","Soporte"
"Global Support Engineer","Soporte"
"Atención al usuario","Soporte"
"Customer Care","Soporte"
"Customer Service","Soporte"
"Customer Support","Soporte"
"Service Desk","Soporte"
"HelpDesk","Soporte"
"Help Desk","Soporte"
"NOC","Soporte"
"NOC operator","Soporte"
"NOC engineer","Soporte"
"Network Operations Center operator","Soporte"
"Network Operations Center","Soporte"
"Cloud support","Soporte"
"Cloud and IaaS Technical support","Soporte"
"Analista de sistemas","Soporte"
"Soporte Técnico IT","Soporte"
"IT Support ","Soporte"
"Consultor TIC","Soporte"
"Consultora TIC","Soporte"
"Workplace IT","Soporte"
"IT Procurement","Soporte"
"Mesa de ayuda","Soporte"
"Desk","Soporte"
"Consultor informático","Soporte"
"Support Technician","Soporte"
"Service Electronic Engineer","Soporte"
"Infraestructura IT","Soporte"
"ITIL","Soporte"
"Soluciones IT","Soporte"
"Soporte IT","Soporte"
"TI / IT Services","Soporte"
"Systems Engineer","Soporte"
"Implementaciones IT","Soporte"
"SRE","Soporte"
"Network Engineer","Soporte"
"Site Reliability","Soporte"
"Firmware","Soporte"
"Auxiliar de redes","Soporte"
"Incident Manager","Soporte"
"Field Engineer","Soporte"
"Operador de sistemas","Soporte"
"Ingeniero de telecomunicaciones","Soporte"
"Facilities Specialist","Soporte"
"control documental","Soporte"
"Documentación de Sistema","Soporte"
"Customer care","Soporte"
"Tech Analyst","Soporte"
"Service Consultant","Soporte"
"Project Control Services","Soporte"
"Sistemas informáticos","Soporte"
"Soporte TI","Soporte"
"Tech architect","Soporte"
"Jefe de soporte","Soporte"
"Client officer","Soporte"
"Infraestructura IT","Soporte"
"Integration Specialist","Soporte"
"Integrador de soluciones","Soporte"
"Integradora de soluciones","Soporte"
"Integrador","Soporte"
"Integradora","Soporte"
"PMO","Jerarquía / Coordinación"
"Product Manager","Jerarquía / Coordinación"
"Scrum","Jerarquía / Coordinación"
"Coordinador de proyecto","Jerarquía / Coordinación"
"Jefe de Proyectos","Jerarquía / Coordinación"
"Líder de","Jerarquía / Coordinación"
"Program Manager","Jerarquía / Coordinación"
"Team manager","Jerarquía / Coordinación"
"Team lead","Jerarquía / Coordinación"
"Project engineer","Jerarquía / Coordinación"
"Tech manager","Jerarquía / Coordinación"
"Consultora Atlassian","Jerarquía / Coordinación"
"Release Manager","Jerarquía / Coordinación"
"Staff Engineer","Jerarquía / Coordinación"
"Product Specialist","Jerarquía / Coordinación"
"Team Coordinator","Jerarquía / Coordinación"
"Project Assistant","Jerarquía / Coordinación"
"Lider de Proyecto","Jerarquía / Coordinación"
"Coordinadora de proyectos","Jerarquía / Coordinación"
"Gestion de proyecto","Jerarquía / Coordinación"
"Jefe de equipo","Jerarquía / Coordinación"
"Engineering manager","Jerarquía / Coordinación"
"Project Manager","Jerarquía / Coordinación"
"Product Manager","Jerarquía / Coordinación"
"Program manager","Jerarquía / Coordinación"
"Project coordinator","Jerarquía / Coordinación"
"Project scheduler","Jerarquía / Coordinación"
"Coordinador de proyecto","Jerarquía / Coordinación"
"Coordinadora de proyecto","Jerarquía / Coordinación"
"Coordinador de proyectos","Jerarquía / Coordinación"
"Coordinadora de proyectos","Jerarquía / Coordinación"
"Product Owner","Jerarquía / Coordinación"
"Tech Owner","Jerarquía / Coordinación"
"Technical Owner","Jerarquía / Coordinación"
"Technical Product Owner","Jerarquía / Coordinación"
"Team manager","Jerarquía / Coordinación"
"Project Leader ","Jerarquía / Coordinación"
"Scrum Master","Jerarquía / Coordinación"
"SDM","Jerarquía / Coordinación"
"Delivery Manager","Jerarquía / Coordinación"
"Service Delivery Manager","Jerarquía / Coordinación"
"Agile Delivery Manager","Jerarquía / Coordinación"
"Agile Coach","Jerarquía / Coordinación"
"System owner","Jerarquía / Coordinación"
"Lead","Jerarquía / Coordinación"
"Project leader ","Jerarquía / Coordinación"
"Team Leader","Jerarquía / Coordinación"
"Delivery Lead","Jerarquía / Coordinación"
"Chapter Lead ","Jerarquía / Coordinación"
"Tribe Lead","Jerarquía / Coordinación"
"Functional Team Lead","Jerarquía / Coordinación"
"Lider de proyecto","Jerarquía / Coordinación"
"co-owner","Dirección"
"Business Owner","Dirección"
"Company Owner","Dirección"
"Fundador","Dirección"
"Founder","Dirección"
"""VP ""","Dirección"
"President","Dirección"
"Chief","Dirección"
"Propietario","Dirección"
"Functional Manager","Dirección"
"Ejecutivo Funcional","Dirección"
"Socio gerente","Dirección"
"Socio ","Dirección"
"Gerente general","Dirección"
"Director","Dirección"
"Country manager","Dirección"
"Executive","Dirección"
"Chief Data Officer","Dirección"
"CDO","Dirección"
"CISO","Dirección"
"Chief Information Security Officer","Dirección"
"CDIO","Dirección"
"Chief Digital Officer","Dirección"
"Chief Digital Information Officer","Dirección"
"Chief Information Officer","Dirección"
"CTO","Dirección"
"Chief Technical Officer","Dirección"
"Chief Technology Officer","Dirección"
"Gerente operativo","Dirección"
"C-level","Dirección"
"Executive","Dirección"
"Ejecutivo","Dirección"
"Ejecutiva","Dirección"
"Engineering Director","Dirección"
"Chief Data Officer","Dirección"
"CDO","Dirección"
"CDIO","Dirección"
"Chief Digital Officer","Dirección"
"Head of Data & Analytics","Dirección"
"CISO","Dirección"
"Chief Information Security Officer","Dirección"
"CIO","Dirección"
"Gerente de sistemas","Dirección"
"Gerente de infraestructura IT","Dirección"
"Gerente de Operaciones","Dirección"
"Gerenta de Operaciones","Dirección"
"Gerente de Operaciones","Dirección"
"Gerenta de Operaciones","Dirección"
"Director","Dirección"
"Directora","Dirección"
"Co-founder","Dirección"
"Cofundador","Dirección"
"Cofundadora","Dirección"
"Socio","Dirección"
"Socia","Dirección"
"Partner","Dirección"
"Fellow","Dirección"
"CEO","Dirección"
"VP","Dirección"
"Vice-president","Dirección"
"Vicepresident","Dirección"
"Viceprecidente","Dirección"
"Vicepresidenta","Dirección"
"Administrativo","Administrativo / Apoyo"
"Vendedor","Administrativo / Apoyo"
"Community Manager","Administrativo / Apoyo"
"Auxiliar administrativo","Administrativo / Apoyo"
"Servicio de atención al cliente","Administrativo / Apoyo"
"Atención al cliente","Administrativo / Apoyo"
"Administrativa","Administrativo / Apoyo"
"Recepcionista","Administrativo / Apoyo"
"People","Administrativo / Apoyo"
"Recruiter","Administrativo / Apoyo"
"Recruitment","Administrativo / Apoyo"
"Sales","Administrativo / Apoyo"
"Marketing","Administrativo / Apoyo"
"""HR ""","Administrativo / Apoyo"
"Talent","Administrativo / Apoyo"
"Human","Administrativo / Apoyo"
"Payroll","Administrativo / Apoyo"
"Reward","Administrativo / Apoyo"
"Gastos","Administrativo / Apoyo"
"Cuentas","Administrativo / Apoyo"
"Facturación","Administrativo / Apoyo"
"Higiene","Administrativo / Apoyo"
"Finance","Administrativo / Apoyo"
"Accounting","Administrativo / Apoyo"
"Sustainability","Administrativo / Apoyo"
"Legal","Administrativo / Apoyo"
"Tesorería","Administrativo / Apoyo"
"Tesorero/a","Administrativo / Apoyo"
"Contador","Administrativo / Apoyo"
"Contable","Administrativo / Apoyo"
"Compras","Administrativo / Apoyo"
"Venta","Administrativo / Apoyo"
"Selección de personal","Administrativo / Apoyo"
"Capacitación","Administrativo / Apoyo"
"Training","Administrativo / Apoyo"
"Instructor","Administrativo / Apoyo"
"Comunicación","Administrativo / Apoyo"
"In-company teacher","Administrativo / Apoyo"
"Profesora in-company","Administrativo / Apoyo"
"Treasury","Administrativo / Apoyo"
"Trainer","Administrativo / Apoyo"
"Learning","Administrativo / Apoyo"
"Compliance","Administrativo / Apoyo"
"HRBP","Administrativo / Apoyo"
"Facilitator","Administrativo / Apoyo"
"Procurement","Administrativo / Apoyo"
"Facilitador","Administrativo / Apoyo"
"Finanzas","Administrativo / Apoyo"
"RSE","Administrativo / Apoyo"
"Customer Success","Administrativo / Apoyo"
"Especialista en Diversidad","Administrativo / Apoyo"
"Encargado de redes sociales","Administrativo / Apoyo"
"Recruiting","Administrativo / Apoyo"
"Community Manager","Administrativo / Apoyo"
"Técnico de selección de personal","Administrativo / Apoyo"
"Audit","Administrativo / Apoyo"
"Control de gestión","Administrativo / Apoyo"
"CFM","Administrativo / Apoyo"
"Client Financial Management","Administrativo / Apoyo"
"Actuarial","Administrativo / Apoyo"
"Tax","Administrativo / Apoyo"
"Impuestos","Administrativo / Apoyo"
"Gestión de calidad","Administrativo / Apoyo"
"Billing","Administrativo / Apoyo"
"Abogada","Administrativo / Apoyo"
"Contract","Administrativo / Apoyo"
""" HR""","Administrativo / Apoyo"
"Calidad ISO","Administrativo / Apoyo"
"CRM Specialist","Administrativo / Apoyo"
"Business Development","Administrativo / Apoyo"
"Profesor/a","Extra"
"Traductor/a","Extra"
"Docente","Extra"
"Universidad","Extra"
"Facultad","Extra"
"Coderhouse","Extra"
"Estudiante","Extra"
"Polo it","Extra"
"Camara","Extra"
"Cátedra","Extra"
"Gobierno de","Extra"
"Centro de","Extra"
"Municipal","Extra"
"Instituto","Extra"
"Colegio","Extra"
"Direccion general","Extra"
"Hospital","Extra"
"Centro médico","Extra"
"Investigador","Extra"
"Ministerio","Extra"
"Agencia de quiniela","Extra"
